Date;Time;Price
28/06/2022;12:00;13,78
27/06/2022;12:00;13,53
24/06/2022;12:00;13,39
23/06/2022;12:00;13,42
22/06/2022;12:00;13,32
21/06/2022;12:00;13,28
20/06/2022;12:00;13,33
17/06/2022;12:00;13,46
15/06/2022;12:00;13,57
14/06/2022;12:00;13,89
13/06/2022;12:00;14,2
10/06/2022;12:00;14,46
09/06/2022;12:00;14,64
08/06/2022;12:00;14,62
07/06/2022;12:00;14,66
03/06/2022;12:00;14,58
02/06/2022;12:00;14,61
01/06/2022;12:00;14,66
31/05/2022;12:00;14,65
30/05/2022;12:00;14,42
27/05/2022;12:00;14,1
25/05/2022;12:00;14,21
24/05/2022;12:00;14,15
23/05/2022;12:00;14,12
20/05/2022;12:00;14,19
19/05/2022;12:00;14,49
18/05/2022;12:00;14,41
17/05/2022;12:00;14,42
16/05/2022;12:00;14,19
13/05/2022;12:00;14,09
12/05/2022;12:00;14,04
11/05/2022;12:00;14,02
10/05/2022;12:00;14,41
09/05/2022;12:00;14,55
06/05/2022;12:00;14,88
05/05/2022;12:00;14,85
04/05/2022;12:00;14,82
03/05/2022;12:00;14,84
02/05/2022;12:00;15,03
29/04/2022;12:00;14,85
28/04/2022;12:00;14,71
27/04/2022;12:00;14,83
26/04/2022;12:00;14,92
25/04/2022;12:00;15,17
22/04/2022;12:00;15,32
21/04/2022;12:00;15,27
20/04/2022;12:00;15,16
19/04/2022;12:00;15,19
14/04/2022;12:00;15,11
13/04/2022;12:00;15,13
12/04/2022;12:00;15,29
11/04/2022;12:00;15,27
08/04/2022;12:00;15,25
07/04/2022;12:00;15,45
06/04/2022;12:00;15,57
05/04/2022;12:00;15,48
04/04/2022;12:00;15,38
01/04/2022;12:00;15,5
31/03/2022;12:00;15,62
30/03/2022;12:00;15,5
29/03/2022;12:00;15,42
28/03/2022;12:00;15,36
25/03/2022;12:00;15,3
24/03/2022;12:00;15,39
23/03/2022;12:00;15,36
22/03/2022;12:00;15,29
21/03/2022;12:00;15,12
18/03/2022;12:00;15
17/03/2022;12:00;14,74
16/03/2022;12:00;14,52
15/03/2022;12:00;14,48
14/03/2022;12:00;14,44
11/03/2022;12:00;14,57
10/03/2022;12:00;14,25
09/03/2022;12:00;14,17
08/03/2022;12:00;14,45
07/03/2022;12:00;14,76
04/03/2022;12:00;14,95
03/03/2022;12:00;14,84
02/03/2022;12:00;14,98
01/03/2022;12:00;15,08
28/02/2022;12:00;14,87
25/02/2022;12:00;14,8
24/02/2022;12:00;14,89
23/02/2022;12:00;15
22/02/2022;12:00;15,11
21/02/2022;12:00;15,25
18/02/2022;12:00;15,43
17/02/2022;12:00;15,47
16/02/2022;12:00;15,32
15/02/2022;12:00;15,35
14/02/2022;12:00;15,56
11/02/2022;12:00;15,72
10/02/2022;12:00;15,55
09/02/2022;12:00;15,41
08/02/2022;12:00;15,38
07/02/2022;12:00;15,46
04/02/2022;12:00;15,76
03/02/2022;12:00;15,81
02/02/2022;12:00;15,73
01/02/2022;12:00;15,54
31/01/2022;12:00;15,47
28/01/2022;12:00;15,37
27/01/2022;12:00;15,24
26/01/2022;12:00;15,28
25/01/2022;12:00;15,53
24/01/2022;12:00;15,78
21/01/2022;12:00;15,9
20/01/2022;12:00;15,94
19/01/2022;12:00;16,06
18/01/2022;12:00;16,1
17/01/2022;12:00;16,15
14/01/2022;12:00;16,32
13/01/2022;12:00;16,31
12/01/2022;12:00;16,2
11/01/2022;12:00;16,27
10/01/2022;12:00;16,38
07/01/2022;12:00;16,57
05/01/2022;12:00;16,71
04/01/2022;12:00;16,62
03/01/2022;12:00;16,64
30/12/2021;12:00;16,62
29/12/2021;12:00;16,62
28/12/2021;12:00;16,51
27/12/2021;12:00;16,42
23/12/2021;12:00;16,24
22/12/2021;12:00;16,02
21/12/2021;12:00;16,1
20/12/2021;12:00;16,23
17/12/2021;12:00;16,3
16/12/2021;12:00;16,17
15/12/2021;12:00;16,25
14/12/2021;12:00;16,38
13/12/2021;12:00;16,37
10/12/2021;12:00;16,43
09/12/2021;12:00;16,32
07/12/2021;12:00;15,99
06/12/2021;12:00;16,01
03/12/2021;12:00;16,01
02/12/2021;12:00;15,99
01/12/2021;12:00;16,15
30/11/2021;12:00;16,13
29/11/2021;12:00;16,4
26/11/2021;12:00;16,56
25/11/2021;12:00;16,52
24/11/2021;12:00;16,62
23/11/2021;12:00;16,72
22/11/2021;12:00;16,73
19/11/2021;12:00;16,73
18/11/2021;12:00;16,75
17/11/2021;12:00;16,68
16/11/2021;12:00;16,6
15/11/2021;12:00;16,51
12/11/2021;12:00;16,43
11/11/2021;12:00;16,45
10/11/2021;12:00;16,48
09/11/2021;12:00;16,49
08/11/2021;12:00;16,49
05/11/2021;12:00;16,41
04/11/2021;12:00;16,31
03/11/2021;12:00;16,25
02/11/2021;12:00;16,14
29/10/2021;12:00;16,04
28/10/2021;12:00;16,08
27/10/2021;12:00;16,02
25/10/2021;12:00;15,97
22/10/2021;12:00;15,93
21/10/2021;12:00;15,89
20/10/2021;12:00;15,82
19/10/2021;12:00;15,81
18/10/2021;12:00;15,75
15/10/2021;12:00;15,58
14/10/2021;12:00;15,46
13/10/2021;12:00;15,43
12/10/2021;12:00;15,48
11/10/2021;12:00;15,54
08/10/2021;12:00;15,43
07/10/2021;12:00;15,39
06/10/2021;12:00;15,27
05/10/2021;12:00;15,37
04/10/2021;12:00;15,41
01/10/2021;12:00;15,45
30/09/2021;12:00;15,43
29/09/2021;12:00;15,67
28/09/2021;12:00;15,82
27/09/2021;12:00;15,87
24/09/2021;12:00;15,77
23/09/2021;12:00;15,64
22/09/2021;12:00;15,55
21/09/2021;12:00;15,7
20/09/2021;12:00;15,85
17/09/2021;12:00;15,84
16/09/2021;12:00;15,82
15/09/2021;12:00;15,85
14/09/2021;12:00;15,85
13/09/2021;12:00;15,87
10/09/2021;12:00;15,91
09/09/2021;12:00;15,98
08/09/2021;12:00;16,01
07/09/2021;12:00;15,98
06/09/2021;12:00;15,98
03/09/2021;12:00;15,98
02/09/2021;12:00;15,94
01/09/2021;12:00;15,93
31/08/2021;12:00;15,93
30/08/2021;12:00;15,86
27/08/2021;12:00;15,9
26/08/2021;12:00;15,9
25/08/2021;12:00;15,88
24/08/2021;12:00;15,79
23/08/2021;12:00;15,72
20/08/2021;12:00;15,77
19/08/2021;12:00;15,84
18/08/2021;12:00;15,89
17/08/2021;12:00;15,92
16/08/2021;12:00;15,93
13/08/2021;12:00;15,91
12/08/2021;12:00;15,88
11/08/2021;12:00;15,84
10/08/2021;12:00;15,8
09/08/2021;12:00;15,77
06/08/2021;12:00;15,71
05/08/2021;12:00;15,65
04/08/2021;12:00;15,56
03/08/2021;12:00;15,54
02/08/2021;12:00;15,57
30/07/2021;12:00;15,56
29/07/2021;12:00;15,49
28/07/2021;12:00;15,54
27/07/2021;12:00;15,59
26/07/2021;12:00;15,51
23/07/2021;12:00;15,39
22/07/2021;12:00;15,23
21/07/2021;12:00;15,08
20/07/2021;12:00;15,23
19/07/2021;12:00;15,37
16/07/2021;12:00;15,46
15/07/2021;12:00;15,48
14/07/2021;12:00;15,47
13/07/2021;12:00;15,4
12/07/2021;12:00;15,26
09/07/2021;12:00;15,38
08/07/2021;12:00;15,4
07/07/2021;12:00;15,39
06/07/2021;12:00;15,38
05/07/2021;12:00;15,32
02/07/2021;12:00;15,24
01/07/2021;12:00;15,27
30/06/2021;12:00;15,26
29/06/2021;12:00;15,25
28/06/2021;12:00;15,22
